,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,Baden-Württemberg,454,331 (1),,2020-03-12,1
1,Bayern,500,317,,2020-03-12,1
2,Berlin,137,137,,2020-03-12,0
3,Brandenburg,30,23,,2020-03-12,0
4,Bremen,38,35,,2020-03-12,0
5,Hamburg,88,60,,2020-03-12,0
6,Hessen,99,59,,2020-03-12,0
7,Mecklenburg-Vorpommern,23,16,,2020-03-12,0
8,Niedersachsen,129,81,,2020-03-12,0
9,Nordrhein-Westfalen,688,688 (2),Landkreis Heinsberg,2020-03-12,3
10,Rheinland-Pfalz,52,52,,2020-03-12,0
11,Saarland,14,8,,2020-03-12,0
12,Sachsen,45,30,,2020-03-12,0
13,Sachsen-Anhalt,27,14,,2020-03-12,0
14,Schleswig-Holstein,31,29,,2020-03-12,0
15,Thüringen,14,12,,2020-03-12,0
16,Gesamt,2.369,1.892 (3),,2020-03-12,5
0,Baden-Württemberg,277,,,2020-03-11,0
1,Bayern,366,,,2020-03-11,0
2,Berlin,90,,,2020-03-11,0
3,Brandenburg,24,,,2020-03-11,0
4,Bremen,21,,,2020-03-11,0
5,Hamburg,48,,,2020-03-11,0
6,Hessen,48,,,2020-03-11,0
7,Mecklenburg-Vorpommern,17,,,2020-03-11,0
8,Niedersachsen,75,,,2020-03-11,0
9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-11,0
10,Rheinland-Pfalz,25,,,2020-03-11,0
11,Saarland,14,,,2020-03-11,0
12,Sachsen,26,,,2020-03-11,0
13,Sachsen-Anhalt,15,,,2020-03-11,0
14,Schleswig-Holstein,27,,,2020-03-11,0
15,Thüringen,10,,,2020-03-11,0
16,Gesamt,1,,,2020-03-11,0
0,Baden-Württemberg,237,,,2020-03-10,0
1,Bayern,314,,,2020-03-10,0
2,Berlin,48,,,2020-03-10,0
3,Brandenburg,9,,,2020-03-10,0
4,Bremen,4,,,2020-03-10,0
5,Hamburg,29,,,2020-03-10,0
6,Hessen,35,,,2020-03-10,0
7,Mecklenburg-Vorpommern,13,,,2020-03-10,0
8,Niedersachsen,49,,,2020-03-10,0
9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-10,0
10,Rheinland-Pfalz,25,,,2020-03-10,0
11,Saarland,7,,,2020-03-10,0
12,Sachsen,22,,,2020-03-10,0
13,Sachsen-Anhalt,7,,,2020-03-10,0
14,Schleswig-Holstein,9,,,2020-03-10,0
15,Thüringen,4,,,2020-03-10,0
16,Gesamt,1,,,2020-03-10,0
0,Baden-Württemberg,204,,,2020-03-09,0
1,Bayern,256,,,2020-03-09,0
2,Berlin,48,,,2020-03-09,0
3,Brandenburg,6,,,2020-03-09,0
4,Bremen,4,,,2020-03-09,0
5,Hamburg,17,,,2020-03-09,0
6,Hessen,26,,,2020-03-09,0
7,Mecklenburg-Vorpommern,10,,,2020-03-09,0
8,Niedersachsen,38,,,2020-03-09,0
9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-09,0
10,Rheinland-Pfalz,17,,,2020-03-09,0
11,Saarland,6,,,2020-03-09,0
12,Sachsen,12,,,2020-03-09,0
13,Schleswig-Holstein,9,,,2020-03-09,0
14,Thüringen,2,,,2020-03-09,0
15,Gesamt,1139,,,2020-03-09,0
0,Baden-Württemberg,182,,,2020-03-08,0
1,Bayern,172,,,2020-03-08,0
2,Berlin,40,,,2020-03-08,0
3,Brandenburg,4,,,2020-03-08,0
4,Bremen,4,,,2020-03-08,0
5,Hamburg,13,,,2020-03-08,0
6,Hessen,19,,,2020-03-08,0
7,Mecklenburg-Vorpommern,8,,,2020-03-08,0
8,Niedersachsen,21,,,2020-03-08,0
9,Nordrhein-Westfalen,398,,Landkreis Heinsberg,2020-03-08,0
10,Rheinland-Pfalz,19,,,2020-03-08,0
11,Saarland,4,,,2020-03-08,0
12,Sachsen,7,,,2020-03-08,0
13,Schleswig Holstein,9,,,2020-03-08,0
14,Thüringen,2,,,2020-03-08,0
15,Gesamt,902,,,2020-03-08,0
0,Baden-Württemberg,170,,,2020-03-07,0
1,Bayern,134,,,2020-03-07,0
2,Berlin,28,,,2020-03-07,0
3,Brandenburg,2,,,2020-03-07,0
4,Bremen,4,,,2020-03-07,0
5,Hamburg,13,,,2020-03-07,0
6,Hessen,17,,,2020-03-07,0
7,Mecklenburg-Vorpommern,5,,,2020-03-07,0
8,Niedersachsen,19,,,2020-03-07,0
9,Nordrhein-Westfalen,373,,Landkreis Heinsberg,2020-03-07,0
10,Rheinland-Pfalz,13,,,2020-03-07,0
11,Saarland,3,,,2020-03-07,0
12,Sachsen,4,,,2020-03-07,0
13,Schleswig Holstein,8,,,2020-03-07,0
14,Thüringen,2,,,2020-03-07,0
15,Gesamt,795,,,2020-03-07,0
0,Baden-Württemberg,96,,,2020-03-06,0
1,Bayern,117,,,2020-03-06,0
2,Berlin,19,,,2020-03-06,0
3,Brandenburg,2,,,2020-03-06,0
4,Bremen,4,,,2020-03-06,0
5,Hamburg,11,,,2020-03-06,0
6,Hessen,16,,,2020-03-06,0
7,Mecklenburg-Vorpommern,5,,,2020-03-06,0
8,Niedersachsen,18,,,2020-03-06,0
9,Nordrhein-Westfalen,329,,Landkreis Heinsberg,2020-03-06,0
10,Rheinland-Pfalz,10,,,2020-03-06,0
11,Saarland,2,,,2020-03-06,0
12,Sachsen,2,,,2020-03-06,0
13,Schleswig Holstein,7,,,2020-03-06,0
14,Thüringen,1,,,2020-03-06,0
15,Gesamt,639,,,2020-03-06,0
0,Baden-Württemberg,73,,,2020-03-05,0
1,Bayern,70,,,2020-03-05,0
2,Berlin,13,,,2020-03-05,0
3,Brandenburg,1,,,2020-03-05,0
4,Bremen,3,,,2020-03-05,0
5,Hamburg,5,,,2020-03-05,0
6,Hessen,14,,,2020-03-05,0
7,Mecklenburg-Vorpommern,4,,,2020-03-05,0
8,Niedersachsen,18,,,2020-03-05,0
9,Nordrhein-Westfalen,181,,,2020-03-05,0
10,Rheinland-Pfalz,8,,,2020-03-05,0
11,Saarland,1,,,2020-03-05,0
12,Sachsen,1,,,2020-03-05,0
13,Schleswig Holstein,7,,,2020-03-05,0
14,Thüringen,1,,,2020-03-05,0
15,Gesamt,400,,,2020-03-05,0
0,Baden-Württemberg,50,,,2020-03-04,0
1,Bayern,48,,,2020-03-04,0
2,Berlin,7,,,2020-03-04,0
3,Brandenburg,1,,,2020-03-04,0
4,Bremen,3,,,2020-03-04,0
5,Hamburg,3,,,2020-03-04,0
6,Hessen,12,,,2020-03-04,0
7,Mecklenburg-Vorpommern,4,,,2020-03-04,0
8,Niedersachsen,7,,,2020-03-04,0
9,Nordrhein-Westfalen,115,,,2020-03-04,0
10,Rheinland-Pfalz,7,,,2020-03-04,0
11,Saarland,1,,,2020-03-04,0
12,Sachsen,1,,,2020-03-04,0
13,Schleswig Holstein,2,,,2020-03-04,0
14,Thüringen,1,,,2020-03-04,0
15,Gesamt,262,,,2020-03-04,0
0,Baden-Württemberg,28,,,2020-03-03,0
1,Bayern,37,,,2020-03-03,0
2,Berlin,3,,,2020-03-03,0
3,Brandenburg,1,,,2020-03-03,0
4,Bremen,2,,,2020-03-03,0
5,Hamburg,2,,,2020-03-03,0
6,Hessen,12,,,2020-03-03,0
7,Niedersachsen,2,,,2020-03-03,0
8,Nordrhein-Westfalen,103,,,2020-03-03,0
9,Rheinland-Pfalz,2,,,2020-03-03,0
10,Sachsen,1,,,2020-03-03,0
11,Schleswig Holstein,2,,,2020-03-03,0
12,Thüringen,1,,,2020-03-03,0
13,Gesamt,196,,,2020-03-03,0
0,Bundesland,Fälle,,,2020-03-02,0
1,Baden-Württemberg,19,,,2020-03-02,0
2,Bayern,25,,,2020-03-02,0
3,Berlin,1,,,2020-03-02,0
4,Bremen,1,,,2020-03-02,0
5,Hamburg,1,,,2020-03-02,0
6,Hessen,10,,,2020-03-02,0
7,Niedersachsen,1,,,2020-03-02,0
8,Nordrhein-Westfalen,86,,,2020-03-02,0
9,Rheinland-Pfalz,2,,,2020-03-02,0
10,Schleswig Holstein,2,,,2020-03-02,0
11,Repatriierte,2,,,2020-03-02,0
12,Gesamt,150,,,2020-03-02,0
0,Bundesland,Fälle,,,2020-03-01,0
1,Baden-Württemberg,15,,,2020-03-01,0
2,Bayern,23,,,2020-03-01,0
3,Bremen,1,,,2020-03-01,0
4,Hamburg,1,,,2020-03-01,0
5,Hessen,8,,,2020-03-01,0
6,Niedersachsen,1,,,2020-03-01,0
7,Nordrhein-Westfalen,74,,,2020-03-01,0
8,Rheinland-Pfalz,2,,,2020-03-01,0
9,Schleswig Holstein,2,,,2020-03-01,0
10,Repatriierte,2,,,2020-03-01,0
11,Gesamt,129,,,2020-03-01,0
0,Baden-Württemberg,14,,,2020-02-29,0
1,Bayern,15,,,2020-02-29,0
2,Hessen,3,,,2020-02-29,0
3,Nordrhein-Westfalen,30,,,2020-02-29,0
4,Rheinland-Pfalz,1,,,2020-02-29,0
5,Schleswig Holstein,1,,,2020-02-29,0
6,Repatriierte,2,,,2020-02-29,0
7,Gesamt,66,,,2020-02-29,0
